min,tempM,Rtemp
750,3.2,4.3
751,3.4,4.3
752,3.5,4.2
753,3.6,4.2
754,3.7,4.3
755,3.8,4.3
756,3.9,4.2
757,4,4.3
758,4,4.2
759,4.2,4.3
760,4.2,4.2
761,4.3,4.3
762,4.3,4.2
763,4.3,4.2
764,4.5,4.3
765,4.5,4.2
766,4.6,4.3
767,4.6,4.2
768,4.6,4.2
769,4.7,4.3
770,4.7,4.3
771,4.8,4.3
772,4.8,4.3
773,4.9,4.3
774,4.9,4.3
775,4.9,4.3
776,4.9,4.2
777,5,4.3
778,5,4.3
779,5.1,4.3
780,5.1,4.3
781,5.1,4.3
782,5.2,4.4
783,5.2,4.3
784,4.9,4.3
785,4.4,4.3
786,3.9,4.3
787,3.5,4.3
788,3.1,4.3
789,2.8,4.3
790,2.6,4.3
791,2.4,4.3
792,2.2,4.2
793,2.1,4.3
794,2.4,4.3
795,2.6,4.3
796,2.8,4.2
797,3.1,4.3
798,3.3,4.3
799,3.4,4.3
800,3.6,4.3
801,3.6,4.2
802,3.8,4.3
803,3.8,4.3
804,3.9,4.2
805,4,4.3
806,4,4.2
807,4.1,4.2
808,4.2,4.2
809,4.3,4.3
810,4.3,4.2
811,4.4,4.2
812,4.4,4.3
813,4.5,4.2
814,4.6,4.3
815,4.6,4.2
816,4.6,4.2
817,4.7,4.3
818,4.7,4.3
819,4.8,4.3
820,4.8,4.3
821,4.8,4.3
822,4.9,4.3
823,4.9,4.3
824,4.9,4.3
825,5,4.3
826,5,4.3
827,5.1,4.3
828,5.1,4.3
829,5.1,4.3
830,5.1,4.3
831,5.2,4.3
832,5.1,4.3
833,4.4,4.3
834,4,4.3
835,3.5,4.3
836,3.2,4.3
837,2.9,4.3
838,2.7,4.3
839,2.4,4.2
840,2.2,4.3
841,2.1,4.2
842,2.3,4.2
843,2.6,4.3
844,2.8,4.2
845,3,4.3
846,3.2,4.3
847,3.4,4.3
848,3.5,4.3
849,3.6,4.2
850,3.8,4.3
851,3.8,4.3
852,3.9,4.2
853,4,4.3
854,4,4.2
855,4.1,4.2
856,4.2,4.2
857,4.2,4.2
858,4.3,4.2
859,4.3,4.2
860,4.4,4.2
861,4.5,4.2
862,4.6,4.3
863,4.6,4.2
864,4.6,4.2
865,4.7,4.3
866,4.7,4.3
867,4.8,4.3
868,4.8,4.3
869,4.8,4.3
870,4.8,4.2
871,4.9,4.3
872,4.9,4.2
873,5,4.3
874,5,4.3
875,5.1,4.4
876,5.1,4.3
877,5.1,4.3
878,5.1,4.3
879,5.2,4.3
880,5.2,4.3
881,5.3,4.4
882,5.3,4.4
883,5.3,4.3
884,5.4,4.4
885,5.4,4.4
886,5.4,4.4
887,5.5,4.4
888,5.5,4.4
889,5.5,4.4
890,5.5,4.4
891,5.6,4.5
892,5.6,4.5
893,5.7,4.6
894,5.7,4.5
895,5.7,4.5
896,5.7,4.5
897,5.8,4.6
898,5.8,4.6
899,5.8,4.6
900,5.9,4.7
901,5.8,4.7
902,5.8,4.6
903,5.9,4.7
904,5.9,4.7
905,5.7,4.7
906,5,4.7
907,4.5,4.7
908,4.1,4.7
909,3.7,4.7
910,3.4,4.7
911,3.2,4.7
912,2.9,4.7
913,2.7,4.7
914,2.5,4.6
915,2.3,4.6
916,2.2,4.6
917,2.4,4.6
918,2.7,4.6
919,2.9,4.6
920,3.1,4.6
921,3.4,4.6
922,3.5,4.6
923,3.7,4.6
924,3.8,4.6
925,3.9,4.6
926,4,4.6
927,4.1,4.6
928,4.1,4.5
929,4.3,4.6
930,4.3,4.6
931,4.4,4.6
932,4.5,4.6
933,4.5,4.5
934,4.6,4.6
935,4.6,4.5
936,4.7,4.6
937,4.7,4.6
938,4.8,4.5
939,4.9,4.6
940,4.9,4.5
941,4.9,4.5
942,5,4.6
943,5,4.6
944,5.1,4.6
945,5.1,4.6
946,5.1,4.6
947,5.1,4.5
948,5.2,4.6
949,5.2,4.6
950,5.1,4.6
951,4.5,4.6
952,4,4.6
953,3.6,4.6
954,3.3,4.5
955,2.9,4.5
956,2.7,4.5
957,2.5,4.5
958,2.3,4.5
959,2.2,4.5
960,2.3,4.5
961,2.6,4.5
962,2.9,4.5
963,3.1,4.5
964,3.2,4.4
965,3.5,4.5
966,3.6,4.4
967,3.7,4.5
968,3.8,4.4
969,3.9,4.5
970,4,4.5
971,4,4.4
972,4.1,4.4
973,4.2,4.4
974,4.3,4.5
975,4.3,4.4
976,4.3,4.4
977,4.4,4.4
978,4.5,4.4
979,4.6,4.4
980,4.6,4.4
981,4.7,4.5
982,4.7,4.4
983,4.7,4.4
984,4.8,4.4
985,4.8,4.4
986,4.9,4.5
987,4.9,4.5
988,4.9,4.4
989,4.9,4.4
990,5,4.4
991,5,4.4
992,5.1,4.5
993,5.1,4.5
994,5.1,4.4
995,5.2,4.5
996,5.1,4.5
997,4.6,4.5
998,4,4.5
999,3.5,4.4
1000,3.3,4.5
1001,2.9,4.4
1002,2.7,4.4
1003,2.4,4.4
1004,2.2,4.4
1005,2.2,4.4
1006,2.4,4.4
1007,2.6,4.4
1008,2.9,4.4
1009,3,4.4
1010,3.2,4.4
1011,3.4,4.4
1012,3.6,4.4
1013,3.7,4.4
1014,3.8,4.4
1015,3.8,4.3
1016,4,4.4
1017,4,4.3
1018,4.1,4.3
1019,4.2,4.4
1020,4.2,4.3
1021,4.3,4.4
1022,4.3,4.3
1023,4.3,4.3
1024,4.5,4.3
1025,4.5,4.3
1026,4.6,4.4
1027,4.6,4.3
1028,4.7,4.4
1029,4.7,4.3
1030,4.8,4.4
1031,4.8,4.4
1032,4.8,4.4
1033,4.9,4.4
1034,4.9,4.4
1035,4.9,4.4
1036,5,4.4
1037,5,4.4
1038,5.1,4.5
1039,5.1,4.4
1040,5.1,4.4
1041,5.1,4.4
1042,5.2,4.4
1043,4.9,4.4
1044,4.3,4.4
1045,3.9,4.4
1046,3.5,4.4
1047,3.2,4.4
1048,2.8,4.4
1049,2.6,4.3
1050,2.4,4.3
1051,2.1,4.3
1052,2.2,4.3
1053,2.5,4.3
1054,2.7,4.3
1055,2.9,4.3
1056,3.1,4.3
1057,3.3,4.4
1058,3.5,4.3
1059,3.6,4.3
1060,3.6,4.3
1061,3.8,4.3
1062,3.8,4.3
1063,4,4.3
1064,4,4.3
1065,4,4.3
1066,4.1,4.2
1067,4.2,4.3
1068,4.2,4.3
1069,4.3,4.3
1070,4.4,4.3
1071,4.5,4.3
1072,4.5,4.3
1073,4.6,4.3
1074,4.6,4.3
1075,4.7,4.3
1076,4.7,4.3
1077,4.8,4.4
1078,4.8,4.4
1079,4.8,4.3
1080,4.9,4.4
1081,4.9,4.4
1082,4.9,4.3
1083,5,4.4
1084,5,4.3
1085,5.1,4.4
1086,5.1,4.4
1087,5.1,4.3
1088,5.1,4.3
1089,5.2,4.4
1090,5.1,4.4
1091,4.5,4.4
1092,4,4.4
1093,3.6,4.4
1094,3.3,4.4
1095,2.9,4.3
1096,2.7,4.4
1097,2.4,4.3
1098,2.2,4.3
1099,2.1,4.3
1100,2.3,4.3
1101,2.6,4.3
1102,2.9,4.3
1103,3,4.3
1104,3.2,4.3
1105,3.4,4.3
1106,3.5,4.3
1107,3.6,4.3
1108,3.7,4.3
1109,3.8,4.3
1110,3.9,4.3
1111,4,4.3
1112,4,4.3
1113,4.2,4.3
1114,4.2,4.3
1115,4.3,4.3
1116,4.3,4.3
1117,4.3,4.2
1118,4.5,4.3
1119,4.5,4.2
1120,4.6,4.3
1121,4.6,4.3
1122,4.6,4.2
1123,4.7,4.3
1124,4.7,4.3
1125,4.8,4.3
1126,4.8,4.3
1127,4.8,4.3
1128,4.9,4.3
1129,4.9,4.3
1130,4.9,4.3
1131,5,4.3
1132,5,4.3
1133,5.1,4.4
1134,5.1,4.3
1135,5.1,4.3
1136,5.2,4.4
1137,5.2,4.4
1138,4.9,4.3
1139,4.3,4.4
1140,3.8,4.4
1141,3.4,4.4
1142,3.1,4.4
1143,2.8,4.4
1144,2.6,4.3
1145,2.3,4.3
1146,2.1,4.3
1147,2.2,4.3
1148,2.4,4.2
1149,2.7,4.3
1150,2.8,4.3
1151,3.1,4.3
1152,3.3,4.3
1153,3.4,4.3
1154,3.6,4.3
1155,3.6,4.3
1156,3.8,4.3
1157,3.8,4.2
1158,3.9,4.2
1159,4,4.3
1160,4,4.2
1161,4.1,4.2
1162,4.2,4.2
1163,4.3,4.3
1164,4.3,4.2
1165,4.3,4.2
1166,4.5,4.3
1167,4.5,4.2
1168,4.6,4.3
1169,4.6,4.2
1170,4.6,4.2
1171,4.7,4.3
