min,tempM,tempR
986,3.9,1.6
987,3.9,1.7
988,3.9,2.1
989,4,2.5
990,3.9,2.8
991,3.9,3.1
992,3.9,3.2
993,3.8,3.3
994,3.9,3.5
995,3.8,3.6
996,3.9,3.8
997,3.8,3.8
998,3.8,3.9
999,3.8,4
1000,3.8,4.1
1001,3.9,4.2
1002,3.8,4.3
1003,3.8,4.3
1004,3.9,4.4
1005,3.9,4.5
1006,3.9,4.6
1007,3.9,4.7
1008,3.9,4.7
1009,4,4.8
1010,3.9,4.8
1011,3.9,4.8
1012,4,4.9
1013,4,4.9
1014,4,5
1015,4,5
1016,4.1,5.1
1017,4.1,4.9
1018,4,4
1019,4.1,3.4
1020,4.1,2.9
1021,4,2.5
1022,4,2.2
1023,4,1.9
1024,3.9,1.7
1025,3.9,1.8
1026,4,2.2
1027,3.9,2.5
1028,3.9,2.8
1029,3.9,3.1
1030,3.9,3.3
1031,3.8,3.3
1032,3.9,3.5
1033,3.8,3.6
1034,3.9,3.8
1035,3.8,3.8
1036,3.8,4
1037,3.8,4
1038,3.8,4.1
1039,3.9,4.3
1040,3.8,4.3
1041,3.9,4.4
1042,3.9,4.4
1043,3.9,4.5
1044,3.9,4.6
1045,3.9,4.7
1046,3.9,4.7
1047,4,4.8
1048,3.9,4.8
1049,4,4.9
1050,4,4.9
1051,4,4.9
1052,4,5
1053,4,5
1054,4.1,5.1
1055,4,5.1
1056,4,5.2
1057,4.1,5.3
1058,4.1,5.3
1059,4.1,5.4
1060,4.1,5.4
1061,4.1,5.4
1062,4.2,5.5
1063,4.2,5.5
1064,4.3,5.6
1065,4.2,5.6
1066,4.2,5.6
1067,4.3,5.7
1068,4.3,5.7
1069,4.4,5.8
1070,4.4,5.8
1071,4.3,5.8
1072,4.3,5.8
1073,4.4,5.9
1074,4.4,5.9
1075,4.5,6
1076,4.5,6
1077,4.5,6
1078,4.6,6.1
1079,4.5,6
1080,4.6,5.3
1081,4.5,4.5
1082,4.6,4
1083,4.6,3.5
1084,4.6,3.2
1085,4.6,2.9
1086,4.5,2.6
1087,4.5,2.4
1088,4.5,2.1
1089,4.5,1.9
1090,4.4,1.7
1091,4.4,1.8
1092,4.4,2.2
1093,4.4,2.6
1094,4.4,2.9
1095,4.3,3.1
1096,4.3,3.3
1097,4.3,3.6
1098,4.3,3.6
1099,4.3,3.8
1100,4.2,3.9
1101,4.2,4
1102,4.3,4.2
1103,4.2,4.2
1104,4.3,4.3
1105,4.2,4.4
1106,4.3,4.5
1107,4.2,4.5
1108,4.3,4.7
1109,4.2,4.7
1110,4.2,4.7
1111,4.3,4.8
1112,4.3,4.9
1113,4.3,4.9
1114,4.4,5
1115,4.3,5.1
1116,4.3,5
1117,4.3,4.4
1118,4.4,3.7
1119,4.4,3.2
1120,4.3,2.7
1121,4.2,2.4
1122,4.2,2.1
1123,4.2,1.8
1124,4.2,1.7
1125,4.2,1.9
1126,4.2,2.3
1127,4.2,2.7
1128,4.1,2.9
1129,4.1,3.1
1130,4.1,3.4
1131,4.1,3.5
1132,4.1,3.6
1133,4.1,3.7
1134,4.1,3.9
1135,4.1,3.9
1136,4.1,4.1
1137,4,4.1
1138,4.1,4.2
1139,4,4.3
1140,4.1,4.4
1141,4.1,4.5
1142,4,4.5
1143,4.1,4.6
1144,4.1,4.6
1145,4.2,4.8
1146,4.1,4.7
1147,4.2,4.9
1148,4.1,4.9
1149,4.2,5
1150,4.2,5
1151,4.2,5
1152,4.2,5.1
1153,4.2,4.4
1154,4.2,3.8
1155,4.2,3.2
1156,4.1,2.8
1157,4.1,2.4
1158,4.1,2.1
1159,4.1,1.9
1160,4.1,1.7
1161,4.1,1.9
1162,4.1,2.3
1163,4.1,2.7
1164,4.1,2.9
1165,4,3.1
1166,4,3.3
1167,4,3.5
1168,4,3.5
1169,4,3.7
1170,3.9,3.8
1171,4,3.9
1172,3.9,4
1173,4,4.1
1174,4,4.2
1175,3.9,4.3
1176,3.9,4.3
1177,4,4.4
1178,4,4.5
1179,4,4.5
1180,4.1,4.7
1181,4,4.7
1182,4.1,4.8
1183,4,4.8
1184,4,4.8
1185,4.1,4.9
1186,4.1,5
1187,4.1,5
1188,4.1,5
1189,4.1,5.1
1190,4.1,4.4
1191,4.1,3.7
1192,4.1,3.2
1193,4.1,2.8
1194,4.1,2.4
1195,4,2.1
1196,4,1.8
1197,4,1.7
1198,4,1.9
1199,4,2.3
1200,4,2.6
1201,4,2.9
1202,4,3.1
1203,3.9,3.3
1204,3.9,3.4
1205,3.9,3.5
1206,3.9,3.7
1207,3.9,3.8
1208,3.8,3.8
1209,3.9,4
1210,3.9,4.1
1211,3.9,4.1
1212,3.9,4.3
1213,3.9,4.3
1214,3.9,4.4
1215,3.9,4.4
1216,4,4.5
1217,3.9,4.5
1218,4,4.7
1219,4,4.7
1220,4,4.8
1221,4,4.8
1222,4,4.9
1223,4,4.9
1224,4.1,5
1225,4,5
1226,4,5
1227,4.1,5.1
1228,4.1,4.3
1229,4.1,3.7
1230,4.1,3.1
1231,4.1,2.7
1232,4,2.4
1233,4,2
1234,4,1.8
1235,4,1.7
1236,3.9,2
1237,4,2.4
1238,4,2.8
1239,4,3
1240,3.9,3.2
1241,3.9,3.3
1242,3.9,3.5
1243,3.9,3.6
1244,3.9,3.7
1245,3.8,3.8
1246,3.8,3.9
1247,3.8,4
1248,3.9,4.1
1249,3.8,4.2
1250,3.9,4.3
1251,3.8,4.3
1252,3.9,4.4
1253,4,4.5
1254,3.9,4.6
1255,4,4.7
1256,3.9,4.7
1257,3.9,4.7
1258,4,4.8
1259,3.9,4.8
1260,4,4.9
1261,4,4.9
1262,4,5
1263,4,5
1264,4.1,5.1
1265,4.1,4.5
1266,4,3.8
1267,4.1,3.2
1268,4.1,2.8
1269,4,2.4
1270,4,2.1
1271,4,1.9
1272,3.9,1.6
1273,3.9,1.9
1274,3.9,2.3
1275,3.9,2.6
1276,3.9,2.9
1277,3.9,3.2
1278,3.9,3.3
1279,3.8,3.4
1280,3.9,3.6
1281,3.8,3.7
1282,3.8,3.8
1283,3.8,3.8
1284,3.8,4
1285,3.9,4.1
1286,3.8,4.2
1287,3.9,4.3
1288,3.8,4.3
1289,3.9,4.4
1290,3.9,4.4
1291,3.9,4.5
1292,3.9,4.6
1293,3.9,4.7
1294,3.9,4.7
1295,4,4.8
1296,3.9,4.8
1297,3.9,4.8
1298,4,4.9
1299,4,5
1300,4,5
1301,4,5
1302,4.1,5
1303,4,4.2
1304,4.1,3.6
1305,4,3.1
1306,4,2.7
1307,4,2.4
1308,4,2
1309,3.9,1.7
1310,3.9,1.7
1311,3.9,2
1312,4,2.4
1313,3.9,2.7
1314,3.9,3
1315,3.9,3.2
1316,3.9,3.3
1317,3.8,3.4
1318,3.8,3.6
1319,3.9,3.7
1320,3.8,3.8
1321,3.9,3.9
1322,3.8,4
1323,3.9,4.1
1324,3.8,4.2
1325,3.9,4.3
1326,3.8,4.3
1327,3.9,4.4
1328,3.9,4.4
1329,3.9,4.6
1330,3.9,4.6
1331,3.9,4.7
1332,3.9,4.7
1333,4,4.8
1334,3.9,4.8
1335,4,4.9
1336,4,4.9
1337,4,5
1338,4,5
1339,4,5
1340,4.1,4.9
1341,4,4.1
1342,4,3.5
1343,4,3.1
1344,4,2.7
1345,4,2.4
1346,4,2.1
1347,3.9,1.9
1348,3.9,1.7
1349,3.9,1.9
1350,4,2.4
1351,3.9,2.7
1352,3.8,2.9
1353,3.9,3.2
1354,3.9,3.3
1355,3.8,3.4
1356,3.8,3.6
1357,3.8,3.7
1358,3.8,3.8
1359,3.8,3.9
1360,3.8,4
1361,3.9,4.1
1362,3.8,4.2
1363,3.8,4.3
1364,3.8,4.3
1365,3.9,4.4
1366,3.9,4.5
1367,3.9,4.6
1368,3.9,4.6
1369,3.9,4.7
1370,3.9,4.7
1371,3.9,4.8
1372,3.9,4.8
1373,4,4.9
1374,3.9,4.9
1375,4,5
1376,4,5
1377,4,5
1378,4,5
1379,4,4.3
1380,4,3.7
1381,4,3.1
1382,4,2.8
1383,4,2.5
1384,4,2.2
1385,3.9,2
1386,3.9,1.8
1387,3.9,1.8
1388,3.9,2.2
1389,3.9,2.6
1390,3.9,2.8
1391,3.9,3.1
1392,3.9,3.3
1393,3.8,3.4
1394,3.8,3.5
1395,3.8,3.6
1396,3.8,3.8
1397,3.8,3.8
1398,3.8,4
1399,3.8,4
1400,3.8,4.1
1401,3.9,4.3
1402,3.8,4.3
1403,3.8,4.3
1404,3.9,4.4
1405,3.9,4.5
1406,3.9,4.6
1407,3.9,4.7
1408,3.9,4.7
1409,4,4.8
1410,3.9,4.8
1411,3.9,4.8
1412,4,4.9
1413,3.9,4.9
1414,4,5
1415,4,5
1416,4.1,5.1
1417,4,5.2
1418,4,5.2
1419,4.1,5.3
1420,4.1,5.3
1421,4.1,5.4
1422,4.1,5.4
1423,4.1,5.4
1424,4.2,5.5
1425,4.2,5.5
1426,4.2,5.6
1427,4.2,5.6
1428,4.2,5.6
1429,4.3,5.7
1430,4.3,5.7
1431,4.3,5.7
1432,4.4,5.8
1433,4.3,5.8
1434,4.3,5.8
1435,4.4,5.9
1436,4.4,5.9
1437,4.5,6
1438,4.5,6
1439,4.5,5.9
1440,4.5,5.4
1441,4.5,4.7
1442,4.5,4.1
1443,4.5,3.7
1444,4.5,3.4
1445,4.5,3.2
1446,4.5,2.9
1447,4.5,2.7
1448,4.4,2.4
1449,4.4,2.2
