,diff,lwr,upr,p adj,Comparison,Result,Explanation
5:share table:Winter-3:Refrigerated Control:Summer A,-1.0922,-1.813024462,-0.371375538,2.33E-05,N/A,,
1:share table:Summer A-4:Refrigerated Control:Summer A,-0.84,-1.560824462,-0.119175538,0.005629434,Summer A - Summer A,ST Day 1 is different from RC Day 4,
2:share table:Summer A-4:Refrigerated Control:Summer A,-0.711,-1.394834128,-0.027165872,0.030653077,Summer A - Summer A,ST Day 2 is different from RC Day 4,
4:share table:Summer A-4:Refrigerated Control:Summer A,-0.661,-1.358935284,0.036935284,0.091971622,Summer A - Summer A,ST Day 4 is different from RC Day 4,
5:share table:Summer A-4:Refrigerated Control:Summer A,-0.7068,-1.404735284,-0.008864716,0.0428787,Summer A - Summer A,ST Day 5 is different from RC Day 4,
1:share table:Summer B-4:Refrigerated Control:Summer A,-0.84,-1.560824462,-0.119175538,0.005629434,N/A,,
2:share table:Summer B-4:Refrigerated Control:Summer A,-0.692,-1.375834128,-0.008165872,0.043278025,N/A,,
3:share table:Summer B-4:Refrigerated Control:Summer A,-0.66925,-1.367185284,0.028685284,0.080629074,N/A,,
4:share table:Summer B-4:Refrigerated Control:Summer A,-0.78125,-1.479185284,-0.083314716,0.010712637,N/A,,
1:share table:Winter-4:Refrigerated Control:Summer A,-0.71,-1.430824462,0.010824462,0.059747247,N/A,,
2:share table:Winter-4:Refrigerated Control:Summer A,-0.701333333,-1.422157795,0.019491128,0.068706332,N/A,,
3:share table:Winter-4:Refrigerated Control:Summer A,-0.686333333,-1.407157795,0.034491128,0.086950935,N/A,,
5:share table:Winter-4:Refrigerated Control:Summer A,-0.7722,-1.493024462,-0.051375538,0.020426396,N/A,,
1:overnight:Summer B-1:share table:Summer A,0.6475,0.170719434,1.124280566,0.000303602,N/A,,
2:overnight:Summer B-1:share table:Summer A,0.985,0.508219434,1.461780566,1.54E-09,N/A,,
3:overnight:Summer B-1:share table:Summer A,1.3475,0.870719434,1.824280566,0,N/A,,
4:overnight:Summer B-1:share table:Summer A,0.6375,0.160719434,1.114280566,0.000423157,N/A,,
2:Refrigerated Control:Summer B-1:share table:Summer A,0.94,0.219175538,1.660824462,0.000709415,N/A,,
3:Refrigerated Control:Summer B-1:share table:Summer A,0.84,0.119175538,1.560824462,0.005629434,N/A,,
4:Refrigerated Control:Summer B-1:share table:Summer A,0.83,0.109175538,1.550824462,0.006853681,N/A,,
1:overnight:Winter-1:share table:Summer A,1.206666667,0.696966802,1.716366531,0,N/A,,
2:overnight:Winter-1:share table:Summer A,1.11,0.600300135,1.619699865,1.42E-10,N/A,,
3:overnight:Winter-1:share table:Summer A,1.18,0.670300135,1.689699865,0,N/A,,
4:overnight:Winter-1:share table:Summer A,0.706666667,0.196966802,1.216366531,0.000192887,N/A,,
2:Refrigerated Control:Winter-1:share table:Summer A,1.15,0.429175538,1.870824462,6.02E-06,N/A,,
3:Refrigerated Control:Winter-1:share table:Summer A,1.04,0.319175538,1.760824462,7.73E-05,N/A,,
4:Refrigerated Control:Winter-1:share table:Summer A,1.16,0.439175538,1.880824462,4.75E-06,N/A,,
1:overnight:Summer B-2:share table:Summer A,0.5185,0.09973883,0.93726117,0.001938872,N/A,,
2:overnight:Summer B-2:share table:Summer A,0.856,0.43723883,1.27476117,2.30E-09,N/A,,
